"","Date","Value","CountryCode","Country"
"110",1936-12-31,139559.19,"AUS","Australia"
"111",1935-12-31,121000.89,"AUS","Australia"
"112",1934-12-31,114326.06,"AUS","Australia"
"113",1933-12-31,112440.62,"AUS","Australia"
"114",1932-12-31,93447.29,"AUS","Australia"
"115",1931-12-31,90857.3,"AUS","Australia"
"116",1930-12-31,95609.68,"AUS","Australia"
"117",1929-12-31,117983.63,"AUS","Australia"
"118",1928-12-31,139355.26,"AUS","Australia"
"119",1927-12-31,145479.96,"AUS","Australia"
"120",1926-12-31,139872.78,"AUS","Australia"
"121",1925-12-31,139125.67,"AUS","Australia"
"122",1924-12-31,149733.43,"AUS","Australia"
"123",1923-12-31,139144.27,"AUS","Australia"
"124",1922-12-31,123788.14,"AUS","Australia"
"125",1921-12-31,130098.33,"AUS","Australia"
"126",2000-12-31,337141.95,"CAN","Canada"
"127",1999-12-31,306739.93,"CAN","Canada"
"128",1998-12-31,291703.08,"CAN","Canada"
"129",1997-12-31,270295.62,"CAN","Canada"
"130",1996-12-31,246173.33,"CAN","Canada"
"131",1995-12-31,232562.49,"CAN","Canada"
"132",1994-12-31,220514.88,"CAN","Canada"
"133",1993-12-31,217894.95,"CAN","Canada"
"134",1992-12-31,216013.2,"CAN","Canada"
"135",1991-12-31,220810.76,"CAN","Canada"
"136",1990-12-31,232553.35,"CAN","Canada"
"137",1989-12-31,248996.09,"CAN","Canada"
"138",1988-12-31,228770.09,"CAN","Canada"
"139",1987-12-31,197482.73,"CAN","Canada"
"140",1986-12-31,191612.5,"CAN","Canada"
"141",1985-12-31,188980.19,"CAN","Canada"
"142",1984-12-31,186246.28,"CAN","Canada"
"143",1983-12-31,181077.71,"CAN","Canada"
"144",1982-12-31,193412.34,"CAN","Canada"
"145",1981-12-31,185865.76,"CAN","Canada"
"146",1980-12-31,187007.37,"CAN","Canada"
"147",1979-12-31,178397.46,"CAN","Canada"
"148",1978-12-31,173217.71,"CAN","Canada"
"149",1977-12-31,176188.28,"CAN","Canada"
"150",1976-12-31,184022.68,"CAN","Canada"
"151",1975-12-31,192266.27,"CAN","Canada"
"152",1974-12-31,190433.06,"CAN","Canada"
"153",1973-12-31,182210.76,"CAN","Canada"
"154",1972-12-31,170476.78,"CAN","Canada"
"155",1971-12-31,163851.36,"CAN","Canada"
"156",1970-12-31,159289.99,"CAN","Canada"
"157",1969-12-31,157730.21,"CAN","Canada"
